,description,header,products,subtitles,time,title,titleUrl,activity_datetime,hour
4363,Tinchy Stryder,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:08:26.294Z,Listened to Number 1 (feat. N-Dubz),,2019-03-22 21:08:26.294000+00:00,21
4364,Tinie Tempah,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:07:32.797Z,Listened to Written In The Stars (feat. Eric Turner),,2019-03-22 21:07:32.797000+00:00,21
4365,Tinie Tempah,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:06:45.776Z,Listened to Pass Out,,2019-03-22 21:06:45.776000+00:00,21
4366,Lady Gaga,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:06:14.867Z,Listened to Born This Way,,2019-03-22 21:06:14.867000+00:00,21
4367,,Play Music,['Google Play Music'],,2019-03-22T21:05:58.288Z,Searched for greatest showman,https://play.google.com/music/search/greatest+showman,2019-03-22 21:05:58.288000+00:00,21
4368,Rizzle Kicks,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:03:46.830Z,Listened to Down With The Trumpets,,2019-03-22 21:03:46.830000+00:00,21
4369,The Wanted,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:03:09.232Z,Listened to Glad You Came,,2019-03-22 21:03:09.232000+00:00,21
4370,Wretch 32,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:02:25.321Z,Listened to Don't Go (Radio Edit) (feat. Josh Kumra),,2019-03-22 21:02:25.321000+00:00,21
4371,Spice Girls,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:02:19.282Z,Listened to Who Do You Think You Are,,2019-03-22 21:02:19.282000+00:00,21
4372,Boyzone,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T21:00:41.792Z,Listened to When The Going Gets Tough,,2019-03-22 21:00:41.792000+00:00,21
4373,OneRepublic,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:59:46.622Z,Listened to Counting Stars,,2019-03-22 20:59:46.622000+00:00,20
4374,Maroon 5,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:58:47.921Z,Listened to Sugar,,2019-03-22 20:58:47.921000+00:00,20
4375,Nile Rodgers,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:57:57.146Z,Listened to Boogie All Night (feat. NAO),,2019-03-22 20:57:57.146000+00:00,20
4376,Nile Rodgers,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:56:52.061Z,Listened to I Want Your Love (feat. Lady Gaga),,2019-03-22 20:56:52.061000+00:00,20
4377,The Pointer Sisters,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:56:29.971Z,Listened to Jump (For My Love) (Single Remix),,2019-03-22 20:56:29.971000+00:00,20
4378,"Earth, Wind & Fire",Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:55:42.919Z,Listened to Let's Groove,,2019-03-22 20:55:42.919000+00:00,20
4379,Wham!,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:54:54.027Z,Listened to Freedom,,2019-03-22 20:54:54.027000+00:00,20
4380,Boy Meets Girl,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:54:12.027Z,Listened to Waiting for a Star to Fall,,2019-03-22 20:54:12.027000+00:00,20
4381,Randy Crawford,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:52:46.669Z,Listened to You Might Need Somebody,,2019-03-22 20:52:46.669000+00:00,20
4382,Various,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:51:50.452Z,Listened to Track 20,,2019-03-22 20:51:50.452000+00:00,20
4383,Swedish House Mafia,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:50:26.328Z,Listened to Don't You Worry Child (Radio Edit) (feat. John Martin),,2019-03-22 20:50:26.328000+00:00,20
4384,Calvin Harris,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:49:24.101Z,Listened to Blame (feat. John Newman),,2019-03-22 20:49:24.101000+00:00,20
4385,Inner Circle,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:48:42.944Z,Listened to Sweat (A La La La La Long),,2019-03-22 20:48:42.944000+00:00,20
4386,The Boo Radleys,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:47:11.652Z,Listened to Wake Up Boo! (Radio Edit),,2019-03-22 20:47:11.652000+00:00,20
4387,,Play Music,['Google Play Music'],,2019-03-22T20:47:07.190Z,Searched for sweat,https://play.google.com/music/search/sweat,2019-03-22 20:47:07.190000+00:00,20
4388,Nightcrawlers,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:46:11.927Z,Listened to Let's Push It,,2019-03-22 20:46:11.927000+00:00,20
4389,Republica,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:45:57.423Z,Listened to Drop Dead Gorgeous (Radio Edit),,2019-03-22 20:45:57.423000+00:00,20
4390,C+C Music Factory,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:45:32.746Z,Listened to Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams),,2019-03-22 20:45:32.746000+00:00,20
4391,Real McCoy,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:44:47.737Z,Listened to Another Night (Radio Mix),,2019-03-22 20:44:47.737000+00:00,20
4392,Drake,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:43:54.834Z,Listened to One Dance (feat. WizKid & Kyla),,2019-03-22 20:43:54.834000+00:00,20
4393,Stiltskin,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:40:24.631Z,Listened to Inside,,2019-03-22 20:40:24.631000+00:00,20
4394,Queen,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:37:38.822Z,Listened to We Will Rock You (Remastered),,2019-03-22 20:37:38.822000+00:00,20
4395,Flo Rida,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T20:37:16.251Z,Listened to Good Feeling,,2019-03-22 20:37:16.251000+00:00,20
4396,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T19:59:28.661Z,Listened to Levels (Radio Edit),,2019-03-22 19:59:28.661000+00:00,19
4397,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T19:58:49.924Z,Listened to The Nights,,2019-03-22 19:58:49.924000+00:00,19
4398,Avicii,Google Play Music,['Google Play Music'],"[{'name': 'Served location-based recommendations'}, {'name': 'Temperature: Cool'}, {'name': 'Weather: Overcast'}]",2019-03-22T19:57:57.872Z,Listened to Waiting For Love,,2019-03-22 19:57:57.872000+00:00,19
4399,N-Trance,Google Play Music,['Google Play Music'],,2019-03-21T13:54:56.736Z,Listened to I'm In Heaven,,2019-03-21 13:54:56.736000+00:00,13
4400,Flip & Fill,Google Play Music,['Google Play Music'],,2019-03-21T13:51:47.224Z,Listened to Shooting Star (Extended Mix) (feat. Karen Parry),,2019-03-21 13:51:47.224000+00:00,13
4401,Alena,Google Play Music,['Google Play Music'],,2019-03-21T13:48:32.906Z,Listened to Turn It Around (Original Edit),,2019-03-21 13:48:32.906000+00:00,13
4402,Gouryella,Google Play Music,['Google Play Music'],,2019-03-21T13:45:05.441Z,Listened to Gouryella,,2019-03-21 13:45:05.441000+00:00,13
4403,Grace,Google Play Music,['Google Play Music'],,2019-03-21T13:41:28.131Z,Listened to Not over Yet (Perfecto Edit),,2019-03-21 13:41:28.131000+00:00,13
4404,Planet Perfecto,Google Play Music,['Google Play Music'],,2019-03-21T13:33:48.641Z,Listened to Bullet In The Gun (Radio Edit),,2019-03-21 13:33:48.641000+00:00,13
4405,Energy 52,Google Play Music,['Google Play Music'],,2019-03-21T13:30:38.234Z,Listened to Cafe Del Mar (Three 'N One Radio Edit),,2019-03-21 13:30:38.234000+00:00,13
4406,Rui Da Silva,Google Play Music,['Google Play Music'],,2019-03-21T13:26:47.604Z,Listened to Touch Me (Radio Edit) (feat. Cassandra),,2019-03-21 13:26:47.604000+00:00,13
4407,Divine Inspiration,Google Play Music,['Google Play Music'],,2019-03-21T13:23:20.509Z,Listened to The Way (Svenson & Gielen Radio Edit),,2019-03-21 13:23:20.509000+00:00,13
4408,Sureal,Google Play Music,['Google Play Music'],,2019-03-21T13:20:19.696Z,Listened to You Take My Breath Away (Lange Original Mix),,2019-03-21 13:20:19.696000+00:00,13
4409,Veracocha,Google Play Music,['Google Play Music'],,2019-03-21T13:13:46.548Z,Listened to Carte Blanche,,2019-03-21 13:13:46.548000+00:00,13
4410,Darude,Google Play Music,['Google Play Music'],,2019-03-21T13:06:41.553Z,Listened to Sandstorm,,2019-03-21 13:06:41.553000+00:00,13
4411,Mauro Picotto,Google Play Music,['Google Play Music'],,2019-03-21T13:02:55.887Z,Listened to Komodo [Radio Mix],,2019-03-21 13:02:55.887000+00:00,13
4412,Faithless,Google Play Music,['Google Play Music'],,2019-03-21T12:59:38.825Z,Listened to God Is a DJ,,2019-03-21 12:59:38.825000+00:00,12
4413,Yomanda,Google Play Music,['Google Play Music'],,2019-03-21T12:56:10.334Z,Listened to Synth & Strings,,2019-03-21 12:56:10.334000+00:00,12
4414,Sash!,Google Play Music,['Google Play Music'],,2019-03-21T12:52:52.864Z,"Listened to Raindrops (Encore une fois, Pt. II) (Kindervater Edit) (feat. Stunt)",,2019-03-21 12:52:52.864000+00:00,12
4415,Storm,Google Play Music,['Google Play Music'],,2019-03-21T12:52:39.417Z,Listened to Time to Burn (Radio Edit),,2019-03-21 12:52:39.417000+00:00,12
4416,Aquagen,Google Play Music,['Google Play Music'],,2019-03-21T12:49:44.056Z,Listened to Phatt Bass (Aquagen Short Mix),,2019-03-21 12:49:44.056000+00:00,12
4417,Paul van Dyk,Google Play Music,['Google Play Music'],,2019-03-21T12:49:35.324Z,Listened to For an Angel (PvD Remix '09),,2019-03-21 12:49:35.324000+00:00,12
4418,Ultrabeat,Google Play Music,['Google Play Music'],,2019-03-21T12:49:33.653Z,Listened to Elysium (I Go Crazy) (Ultrabeat Vs. Scott Brown),,2019-03-21 12:49:33.653000+00:00,12
4419,Flip & Fill,Google Play Music,['Google Play Music'],,2019-03-21T10:31:42.318Z,Listened to True Love Never Dies (feat. Kelly Llorenna),,2019-03-21 10:31:42.318000+00:00,10
4420,Push,Google Play Music,['Google Play Music'],,2019-03-21T10:28:14.043Z,Listened to Universal Nation (Ferry Corsten Remix),,2019-03-21 10:28:14.043000+00:00,10
4421,Ian Van Dahl,Google Play Music,['Google Play Music'],,2019-03-21T10:21:52.096Z,Listened to Castles In The Sky (Radio Mix) (feat. Marsha),,2019-03-21 10:21:52.096000+00:00,10
4422,Travel,Google Play Music,['Google Play Music'],,2019-03-21T10:18:04.878Z,Skipped Bulgarian (Signum Radio Edit),,2019-03-21 10:18:04.878000+00:00,10
4423,Travel,Google Play Music,['Google Play Music'],,2019-03-21T10:18:04.799Z,Listened to Bulgarian (Signum Radio Edit),,2019-03-21 10:18:04.799000+00:00,10
4424,Barthezz,Google Play Music,['Google Play Music'],,2019-03-21T10:18:01.998Z,Skipped On the Move (Radio Edit),,2019-03-21 10:18:01.998000+00:00,10
4425,Barthezz,Google Play Music,['Google Play Music'],,2019-03-21T10:18:01.921Z,Listened to On the Move (Radio Edit),,2019-03-21 10:18:01.921000+00:00,10
4426,PPK,Google Play Music,['Google Play Music'],,2019-03-21T10:17:58.166Z,Skipped ResuRection,,2019-03-21 10:17:58.166000+00:00,10
4427,PPK,Google Play Music,['Google Play Music'],,2019-03-21T10:17:58.088Z,Listened to ResuRection,,2019-03-21 10:17:58.088000+00:00,10
4428,Paffendorf,Google Play Music,['Google Play Music'],,2019-03-21T10:17:52.279Z,Skipped Be Cool (Radio Edit),,2019-03-21 10:17:52.279000+00:00,10
4429,Paffendorf,Google Play Music,['Google Play Music'],,2019-03-21T10:17:52.195Z,Listened to Be Cool (Radio Edit),,2019-03-21 10:17:52.195000+00:00,10
4430,B.B.E,Google Play Music,['Google Play Music'],,2019-03-21T10:17:41.025Z,Listened to Seven Days And One Week (Radio Edit),,2019-03-21 10:17:41.025000+00:00,10
4431,Safri Duo,Google Play Music,['Google Play Music'],,2019-03-21T10:02:22.251Z,Listened to Played-A-Live (The Bongo Song),,2019-03-21 10:02:22.251000+00:00,10
4432,Olive,Google Play Music,['Google Play Music'],,2019-03-21T09:59:04.272Z,Listened to You're Not Alone (Radio Edit),,2019-03-21 09:59:04.272000+00:00,9
4433,Public Domain,Google Play Music,['Google Play Music'],,2019-03-21T09:54:53.763Z,"Skipped Operation Blade (7"" Radio Edit)",,2019-03-21 09:54:53.763000+00:00,9
4434,Public Domain,Google Play Music,['Google Play Music'],,2019-03-21T09:54:53.698Z,"Listened to Operation Blade (7"" Radio Edit)",,2019-03-21 09:54:53.698000+00:00,9
4435,Mario Lopez,Google Play Music,['Google Play Music'],,2019-03-21T09:54:52.072Z,Skipped The Sun Always Shines On TV,,2019-03-21 09:54:52.072000+00:00,9
4436,Mario Lopez,Google Play Music,['Google Play Music'],,2019-03-21T09:54:52.009Z,Listened to The Sun Always Shines On TV,,2019-03-21 09:54:52.009000+00:00,9
4437,Art Of Trance,Google Play Music,['Google Play Music'],,2019-03-21T09:54:46.498Z,Skipped Madagascar (Ferry Corsten Remix (Remastered 2009)),,2019-03-21 09:54:46.498000+00:00,9
4438,Art Of Trance,Google Play Music,['Google Play Music'],,2019-03-21T09:54:46.427Z,Listened to Madagascar (Ferry Corsten Remix (Remastered 2009)),,2019-03-21 09:54:46.427000+00:00,9
4439,Marc Et Claude,Google Play Music,['Google Play Music'],,2019-03-21T09:53:37.242Z,Listened to I Need Your Lovin' (Like The Sunshine) (Radio Edit),,2019-03-21 09:53:37.242000+00:00,9
4440,Grace,Google Play Music,['Google Play Music'],,2019-03-21T09:49:37.525Z,Listened to Not over Yet (Perfecto Edit),,2019-03-21 09:49:37.525000+00:00,9
4441,Aurora,Google Play Music,['Google Play Music'],,2019-03-21T09:45:18.621Z,Listened to Ordinary World (feat. Naimee Coleman),,2019-03-21 09:45:18.621000+00:00,9
4442,Robert Miles,Google Play Music,['Google Play Music'],,2019-03-21T09:40:55.746Z,Skipped Children,,2019-03-21 09:40:55.746000+00:00,9
4443,Robert Miles,Google Play Music,['Google Play Music'],,2019-03-21T09:40:55.307Z,Listened to Children,,2019-03-21 09:40:55.307000+00:00,9
4444,Jan Wayne & Scarlet,Google Play Music,['Google Play Music'],,2019-03-21T09:15:58.692Z,Skipped I Touch Myself,,2019-03-21 09:15:58.692000+00:00,9
4445,Jan Wayne & Scarlet,Google Play Music,['Google Play Music'],,2019-03-21T09:15:58.616Z,Listened to I Touch Myself,,2019-03-21 09:15:58.616000+00:00,9
4446,Sash!,Google Play Music,['Google Play Music'],,2019-03-21T09:15:26.928Z,Listened to Encore Une Fois (Future Breeze Edit),,2019-03-21 09:15:26.928000+00:00,9
4447,Sash!,Google Play Music,['Google Play Music'],,2019-03-21T09:11:44.258Z,Skipped Encore Une Fois (Future Breeze Edit),,2019-03-21 09:11:44.258000+00:00,9
4448,Southside Spinners,Google Play Music,['Google Play Music'],,2019-03-21T09:08:50.069Z,Listened to Luvstruck (Marco V & Benjamin Rmx),,2019-03-21 09:08:50.069000+00:00,9
4449,Motorcycle,Google Play Music,['Google Play Music'],,2019-03-21T09:04:16.513Z,Listened to As The Rush Comes,,2019-03-21 09:04:16.513000+00:00,9
4450,Binary Finary,Google Play Music,['Google Play Music'],,2019-03-21T09:00:19.464Z,Listened to 1999 (Kaycee Radio Edit),,2019-03-21 09:00:19.464000+00:00,9
4451,Ratty,Google Play Music,['Google Play Music'],,2019-03-21T08:57:09.299Z,Listened to Sunrise (Radio Edit),,2019-03-21 08:57:09.299000+00:00,8
4452,Lasgo,Google Play Music,['Google Play Music'],,2019-03-21T08:53:27.545Z,Listened to Something,,2019-03-21 08:53:27.545000+00:00,8
4453,Kelly Llorenna,Google Play Music,['Google Play Music'],,2019-03-21T08:49:46.559Z,Listened to Tell It To My Heart,,2019-03-21 08:49:46.559000+00:00,8
4454,Calvin Harris,Google Play Music,['Google Play Music'],,2019-03-20T22:00:39.758Z,Listened to Promises,,2019-03-20 22:00:39.758000+00:00,22
4455,Chicane,Google Play Music,['Google Play Music'],,2019-03-20T07:47:40.757Z,Listened to Saltwater (feat. Moya Brennan),,2019-03-20 07:47:40.757000+00:00,7
4456,System F,Google Play Music,['Google Play Music'],,2019-03-20T07:44:10.036Z,Listened to Out of the Blue (Radio Edit),,2019-03-20 07:44:10.036000+00:00,7
4457,System F,Google Play Music,['Google Play Music'],,2019-03-20T07:44:09.981Z,Skipped Out of the Blue (Radio Edit),,2019-03-20 07:44:09.981000+00:00,7
4458,Loud Luxury,Google Play Music,['Google Play Music'],,2019-03-20T07:43:58.347Z,Listened to Body (feat. brando),,2019-03-20 07:43:58.347000+00:00,7
4459,Auli'i Cravalho,Google Play Music,['Google Play Music'],,2019-03-19T18:58:44.169Z,Listened to How Far I'll Go (Reprise),,2019-03-19 18:58:44.169000+00:00,18
4460,Opetaia Foa'i,Google Play Music,['Google Play Music'],,2019-03-19T18:57:16.777Z,Listened to We Know The Way,,2019-03-19 18:57:16.777000+00:00,18
4461,Auli'i Cravalho,Google Play Music,['Google Play Music'],,2019-03-19T18:54:55.451Z,Listened to How Far I'll Go,,2019-03-19 18:54:55.451000+00:00,18
4462,Christopher Jackson,Google Play Music,['Google Play Music'],,2019-03-19T18:52:12.040Z,Listened to Where You Are,,2019-03-19 18:52:12.040000+00:00,18
4463,Calvin Harris,Google Play Music,['Google Play Music'],,2019-03-19T17:11:04.451Z,Listened to Bounce (Radio Edit) (feat. Kelis),,2019-03-19 17:11:04.451000+00:00,17
4464,Martin Garrix,Google Play Music,['Google Play Music'],,2019-03-19T17:07:22.268Z,Listened to In The Name Of Love (The Him Remix),,2019-03-19 17:07:22.268000+00:00,17
4465,Klingande,Google Play Music,['Google Play Music'],,2019-03-19T17:03:52.983Z,Listened to Pumped Up,,2019-03-19 17:03:52.983000+00:00,17
4466,Foster The People,Google Play Music,['Google Play Music'],,2019-03-19T17:00:55.898Z,Listened to Sit Next to Me (Stereotypes Remix),,2019-03-19 17:00:55.898000+00:00,17
4467,Sigala,Google Play Music,['Google Play Music'],,2019-03-19T16:57:45.177Z,Listened to We Don't Care,,2019-03-19 16:57:45.177000+00:00,16
4468,Robin Schulz,Google Play Music,['Google Play Music'],,2019-03-19T16:54:17.746Z,Listened to Sounds Easy (feat. Ruxley),,2019-03-19 16:54:17.746000+00:00,16
4469,George Ezra,Google Play Music,['Google Play Music'],,2019-03-19T16:51:08.908Z,Listened to Shotgun (The Wild Remix),,2019-03-19 16:51:08.908000+00:00,16
4470,Alesso & Anitta,Google Play Music,['Google Play Music'],,2019-03-19T16:47:57.237Z,Listened to Is That For Me,,2019-03-19 16:47:57.237000+00:00,16
4471,Calvin Harris,Google Play Music,['Google Play Music'],,2019-03-19T16:45:07.979Z,Listened to Blame (R3HAB Trap Remix) (feat. John Newman),,2019-03-19 16:45:07.979000+00:00,16
4472,DJ Snake,Google Play Music,['Google Play Music'],,2019-03-19T16:27:54.941Z,"Listened to Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",,2019-03-19 16:27:54.941000+00:00,16
4473,"R3HAB, Quintino",Google Play Music,['Google Play Music'],,2019-03-19T16:24:22.450Z,Listened to I Just Can't,,2019-03-19 16:24:22.450000+00:00,16
4474,Hardwell,Google Play Music,['Google Play Music'],,2019-03-19T16:21:46.464Z,Listened to How You Love Me (feat. Conor Maynard & Snoop Dogg),,2019-03-19 16:21:46.464000+00:00,16
4475,Michael Calfan,Google Play Music,['Google Play Music'],,2019-03-19T16:18:32.158Z,Listened to Got You,,2019-03-19 16:18:32.158000+00:00,16
4476,Tiësto,Google Play Music,['Google Play Music'],,2019-03-19T16:15:31.423Z,Listened to On My Way (feat. Bright Sparks),,2019-03-19 16:15:31.423000+00:00,16
4477,David Guetta,Google Play Music,['Google Play Music'],,2019-03-19T16:12:27.716Z,Listened to Don't Leave Me Alone (feat. Anne-Marie),,2019-03-19 16:12:27.716000+00:00,16
4478,Avicii,Google Play Music,['Google Play Music'],,2019-03-19T16:09:23.262Z,Listened to You Be Love (feat. Billy Raffoul),,2019-03-19 16:09:23.262000+00:00,16
4479,Calvin Harris,Google Play Music,['Google Play Music'],,2019-03-19T16:05:34.786Z,Listened to Promises,,2019-03-19 16:05:34.786000+00:00,16
4480,Kidzone,Google Play Music,['Google Play Music'],,2019-03-19T07:13:59.428Z,Listened to Five Little Ducks,,2019-03-19 07:13:59.428000+00:00,7
4481,Slovak Philharmonic Orchestra,Google Play Music,['Google Play Music'],,2019-03-18T22:28:23.338Z,Listened to Egmont Overture,,2019-03-18 22:28:23.338000+00:00,22
4482,Stefan Vladar,Google Play Music,['Google Play Music'],,2019-03-18T22:19:57.546Z,"Listened to Piano Concerto No. 5 in E flat major, Op. 73, ""Emperor"": III. Rondo: Allegro",,2019-03-18 22:19:57.546000+00:00,22
4483,Slovak Radio Symphony Orchestra,Google Play Music,['Google Play Music'],,2019-03-18T22:09:53.696Z,"Listened to Symphony No. 6 in F major, Op. 68, ""Pastoral"": I. Pleasant, cheerful feelings aroused on approaching the countryside: Allegro ma non troppo",,2019-03-18 22:09:53.696000+00:00,22
4484,Jeno Jando,Google Play Music,['Google Play Music'],,2019-03-18T21:58:48.498Z,"Listened to Piano Sonata No. 14 in C sharp minor, Op. 27, No. 2, ""Moonlight"": I. Adagio sostenuto",,2019-03-18 21:58:48.498000+00:00,21
4485,Takako Nishizaki,Google Play Music,['Google Play Music'],,2019-03-18T21:53:29.468Z,"Listened to Violin Concerto in D major, Op. 61: III. Rondo: Allegro",,2019-03-18 21:53:29.468000+00:00,21
4486,Jeno Jando,Google Play Music,['Google Play Music'],,2019-03-18T21:42:13.510Z,"Listened to Piano Sonata No. 8 in C minor, Op. 13, ""Pathetique"": II. Adagio cantabile",,2019-03-18 21:42:13.510000+00:00,21
4487,Nicolaus Esterhazy Sinfonia,Google Play Music,['Google Play Music'],,2019-03-18T21:37:25.761Z,"Skipped Symphony No. 3 in E flat major, Op. 55, ""Eroica"": III. Scherzo: Allegro vivace",,2019-03-18 21:37:25.761000+00:00,21
4488,Nicolaus Esterhazy Sinfonia,Google Play Music,['Google Play Music'],,2019-03-18T21:34:49.282Z,"Listened to Symphony No. 3 in E flat major, Op. 55, ""Eroica"": III. Scherzo: Allegro vivace",,2019-03-18 21:34:49.282000+00:00,21
4489,Balazs Szokolay,Google Play Music,['Google Play Music'],,2019-03-18T21:19:20.753Z,"Listened to Bagatelle in A minor, WoO 23, ""Fur Elise""",,2019-03-18 21:19:20.753000+00:00,21
4490,Balazs Szokolay,Google Play Music,['Google Play Music'],,2019-03-18T21:19:19.974Z,"Skipped Bagatelle in A minor, WoO 23, ""Fur Elise""",,2019-03-18 21:19:19.974000+00:00,21
4491,Nicolaus Esterhazy Sinfonia,Google Play Music,['Google Play Music'],,2019-03-18T21:19:18.113Z,"Listened to Symphony No. 5 in C minor, Op. 67: I. Allegro con brio",,2019-03-18 21:19:18.113000+00:00,21
4492,Nicolaus Esterhazy Sinfonia,Google Play Music,['Google Play Music'],,2019-03-18T21:19:17.343Z,"Skipped Symphony No. 5 in C minor, Op. 67: I. Allegro con brio",,2019-03-18 21:19:17.343000+00:00,21
4493,Jemaine Clement,Google Play Music,['Google Play Music'],,2019-03-18T21:19:05.074Z,Listened to Shiny,,2019-03-18 21:19:05.074000+00:00,21
4494,Dwayne Johnson,Google Play Music,['Google Play Music'],,2019-03-18T19:02:01.513Z,Listened to You're Welcome,,2019-03-18 19:02:01.513000+00:00,19
4495,Auli'i Cravalho,Google Play Music,['Google Play Music'],,2019-03-18T18:59:17.593Z,Listened to How Far I'll Go (Reprise),,2019-03-18 18:59:17.593000+00:00,18
4496,Opetaia Foa'i,Google Play Music,['Google Play Music'],,2019-03-18T18:57:50.259Z,Listened to We Know The Way,,2019-03-18 18:57:50.259000+00:00,18
4497,Auli'i Cravalho,Google Play Music,['Google Play Music'],,2019-03-18T18:55:28.840Z,Listened to How Far I'll Go,,2019-03-18 18:55:28.840000+00:00,18
4498,Christopher Jackson,Google Play Music,['Google Play Music'],,2019-03-18T18:52:45.471Z,Listened to Where You Are,,2019-03-18 18:52:45.471000+00:00,18
4499,Vai Mahina,Google Play Music,['Google Play Music'],,2019-03-18T18:49:15.156Z,Listened to An Innocent Warrior,,2019-03-18 18:49:15.156000+00:00,18
4500,Olivia Foa'i,Google Play Music,['Google Play Music'],,2019-03-18T18:47:37.582Z,Skipped Tulou Tagaloa,,2019-03-18 18:47:37.582000+00:00,18
